iter	Accuracy	Logloss
469	0.9094199581	0.2350375484
470	0.9094576616	0.2349457345
471	0.909441503	0.234853684
472	0.9094522754	0.2347694845
473	0.9094684341	0.2346777243
474	0.90951691	0.2345752625
475	0.9096246344	0.234476421
476	0.9096354068	0.2343906067
477	0.9097108139	0.2343049219
478	0.9097215863	0.2342311437
479	0.9097431312	0.2341402669
480	0.9098293107	0.2340487739
481	0.9098508556	0.2339598498
482	0.9099316489	0.2338762097
483	0.9100016697	0.2337746078
484	0.9100232146	0.2336861684
485	0.9099962835	0.2336091094
486	0.9099747386	0.2335207501
487	0.9100501457	0.2334271454
488	0.910082463	0.2333486975
489	0.9101794149	0.2332597458
490	0.9101470976	0.2331648199
491	0.9101417114	0.2330881242
492	0.9100932354	0.2330086392
493	0.9101740287	0.2329286384
494	0.9101955736	0.2328461525
495	0.9101955736	0.2327587191
496	0.9102763669	0.2326780368
497	0.910351774	0.2325959828
498	0.9103571602	0.2325097626
499	0.9103948637	0.2324314164
500	0.9104702708	0.2323460849
501	0.9104918156	0.2322580004
502	0.9105564503	0.2321758655
503	0.9106156987	0.2320957085
504	0.9106210849	0.2320149645
505	0.9106749471	0.2319298229
506	0.910648016	0.231851991
507	0.910696492	0.2317714949
508	0.9107665128	0.2316876805
509	0.910820375	0.2316106966
510	0.9108634647	0.23153029
511	0.9108850096	0.2314508481
512	0.910944258	0.2313717892
513	0.9110035064	0.2312899253
514	0.9110358237	0.2312097592
515	0.9110519824	0.2311295021
516	0.9110789135	0.2310547956
517	0.9111543206	0.2309736977
518	0.9111812516	0.2308990952
519	0.9112458863	0.2308132335
520	0.9113051347	0.2307382835
521	0.9113051347	0.2306538094
522	0.9113482244	0.2305653027
523	0.9114236315	0.2304869996
524	0.9114721075	0.2304076432
525	0.9115367421	0.2303289388
526	0.9115636732	0.2302557891
527	0.9116121492	0.2301767792
528	0.9116283078	0.2300964134
529	0.9117144873	0.230023644
530	0.9116983287	0.2299559751
531	0.9117252598	0.2298845349
532	0.9117198735	0.2298161298
533	0.9117468046	0.2297435781
